Company Name,Ticker,Filing Type,Filing Date,File Path
Apple,AAPL,8-K,2023-08-24,sec-edgar-filings/AAPL/8-K/0001140361-24-038601
Apple,AAPL,8-K,2025-01-21,sec-edgar-filings/AAPL/8-K/0000320193-23-000005
Apple,AAPL,8-K,2022-10-04,sec-edgar-filings/AAPL/8-K/0001140361-24-024352
Apple,AAPL,8-K,2024-03-30,sec-edgar-filings/AAPL/8-K/0000320193-23-000104
Apple,AAPL,8-K,2022-12-11,sec-edgar-filings/AAPL/8-K/0000320193-22-000069
Apple,AAPL,8-K,2024-07-25,sec-edgar-filings/AAPL/8-K/0000320193-23-000063
Apple,AAPL,8-K,2023-11-30,sec-edgar-filings/AAPL/8-K/0001140361-23-011192
Apple,AAPL,8-K,2022-06-14,sec-edgar-filings/AAPL/8-K/0001140361-23-023909
Apple,AAPL,8-K,2023-07-28,sec-edgar-filings/AAPL/8-K/0001193125-22-214914
Apple,AAPL,8-K,2024-10-11,sec-edgar-filings/AAPL/8-K/0000320193-22-000058
Apple,AAPL,8-K,2023-06-26,sec-edgar-filings/AAPL/8-K/0000320193-22-000006
Apple,AAPL,8-K,2023-04-13,sec-edgar-filings/AAPL/8-K/0001193125-22-225365
Apple,AAPL,8-K,2022-01-29,sec-edgar-filings/AAPL/8-K/0000320193-24-000005
Apple,AAPL,8-K,2024-08-05,sec-edgar-filings/AAPL/8-K/0001193125-22-278435
Apple,AAPL,8-K,2024-01-10,sec-edgar-filings/AAPL/8-K/0000320193-24-000067
Apple,AAPL,8-K,2024-02-28,sec-edgar-filings/AAPL/8-K/0000320193-24-000120
Apple,AAPL,8-K,2024-04-24,sec-edgar-filings/AAPL/8-K/0000320193-23-000075
Apple,AAPL,8-K,2024-08-12,sec-edgar-filings/AAPL/8-K/0000320193-22-000107
Apple,AAPL,8-K,2023-08-08,sec-edgar-filings/AAPL/8-K/0001140361-24-010155
Apple,AAPL,8-K,2022-07-14,sec-edgar-filings/AAPL/8-K/0000320193-24-000080
Apple,AAPL,8-K,2023-11-22,sec-edgar-filings/AAPL/8-K/0001193125-22-066169
Apple,AAPL,8-K,2024-12-30,sec-edgar-filings/AAPL/8-K/0001140361-24-038403
Apple,AAPL,8-K,2022-11-12,sec-edgar-filings/AAPL/8-K/0001140361-24-040659
Apple,AAPL,10-Q,2024-02-25,sec-edgar-filings/AAPL/10-Q/0000320193-23-000006
Apple,AAPL,10-Q,2022-04-04,sec-edgar-filings/AAPL/10-Q/0000320193-24-000006
Apple,AAPL,10-Q,2024-11-30,sec-edgar-filings/AAPL/10-Q/0000320193-23-000064
Apple,AAPL,10-Q,2024-10-04,sec-edgar-filings/AAPL/10-Q/0000320193-22-000070
Apple,AAPL,10-Q,2022-04-02,sec-edgar-filings/AAPL/10-Q/0000320193-22-000007
Apple,AAPL,10-Q,2023-10-09,sec-edgar-filings/AAPL/10-Q/0000320193-22-000059
Apple,AAPL,10-Q,2023-06-09,sec-edgar-filings/AAPL/10-Q/0000320193-23-000077
Apple,AAPL,10-Q,2025-02-15,sec-edgar-filings/AAPL/10-Q/0000320193-24-000069
Apple,AAPL,10-Q,2025-01-18,sec-edgar-filings/AAPL/10-Q/0000320193-24-000081
Apple,AAPL,4,2025-03-18,sec-edgar-filings/AAPL/4/0000320193-22-000046
Apple,AAPL,4,2024-04-10,sec-edgar-filings/AAPL/4/0000320193-22-000086
Apple,AAPL,4,2023-04-11,sec-edgar-filings/AAPL/4/0000320193-22-000047
Apple,AAPL,4,2023-05-31,sec-edgar-filings/AAPL/4/0000320193-22-000041
Apple,AAPL,4,2022-10-16,sec-edgar-filings/AAPL/4/0000320193-24-000114
Apple,AAPL,4,2023-02-11,sec-edgar-filings/AAPL/4/0000320193-23-000015
Apple,AAPL,4,2023-11-17,sec-edgar-filings/AAPL/4/0000320193-22-000022
Apple,AAPL,4,2024-11-25,sec-edgar-filings/AAPL/4/0000320193-24-000021
Apple,AAPL,4,2022-01-22,sec-edgar-filings/AAPL/4/0000320193-23-000070
Apple,AAPL,4,2024-08-12,sec-edgar-filings/AAPL/4/0000320193-22-000111
Apple,AAPL,4,2023-05-07,sec-edgar-filings/AAPL/4/0000320193-24-000130
Apple,AAPL,4,2024-02-27,sec-edgar-filings/AAPL/4/0000320193-24-000088
Apple,AAPL,4,2024-05-24,sec-edgar-filings/AAPL/4/0000320193-22-000039
Apple,AAPL,4,2025-02-01,sec-edgar-filings/AAPL/4/0000320193-24-000034
Apple,AAPL,4,2023-08-01,sec-edgar-filings/AAPL/4/0000320193-24-000022
Apple,AAPL,4,2024-04-20,sec-edgar-filings/AAPL/4/0000320193-24-000097
Apple,AAPL,4,2022-11-13,sec-edgar-filings/AAPL/4/0000320193-22-000035
